"val","flags"
1500,"2;3;4;6;7;8;10"
1502,"1;2;3;4;6;7;8;10"
1504,"5;6;7;8;10"
1506,"1;5;6;7;8;10"
1508,"2;5;6;7;8;10"
1510,"1;2;5;6;7;8;10"
1512,"3;5;6;7;8;10"
1514,"1;3;5;6;7;8;10"
1516,"2;3;5;6;7;8;10"
1518,"1;2;3;5;6;7;8;10"
1520,"4;5;6;7;8;10"
1522,"1;4;5;6;7;8;10"
1524,"2;4;5;6;7;8;10"
1526,"1;2;4;5;6;7;8;10"
1528,"3;4;5;6;7;8;10"
1530,"1;3;4;5;6;7;8;10"
1532,"2;3;4;5;6;7;8;10"
1534,"2;4;8;16;32;64;128;256;1024"
1536,"9;10"
1538,"1;9;10"
1540,"2;9;10"
1542,"1;2;9;10"
1544,"3;9;10"
1546,"1;3;9;10"
1548,"2;3;9;10"
1550,"1;2;3;9;10"
1552,"4;9;10"
1554,"1;4;9;10"
1556,"2;4;9;10"
1558,"1;2;4;9;10"
1560,"3;4;9;10"
1562,"1;3;4;9;10"
1564,"2;3;4;9;10"
1566,"1;2;3;4;9;10"
1568,"5;9;10"
1570,"1;5;9;10"
1572,"2;5;9;10"
1574,"1;2;5;9;10"
1576,"3;5;9;10"
1578,"1;3;5;9;10"
1580,"2;3;5;9;10"
1582,"1;2;3;5;9;10"
1584,"4;5;9;10"
1586,"1;4;5;9;10"
1588,"2;4;5;9;10"
1590,"1;2;4;5;9;10"
1592,"3;4;5;9;10"
1594,"1;3;4;5;9;10"
1596,"2;3;4;5;9;10"
1598,"1;2;3;4;5;9;10"
1600,"6;9;10"
1602,"1;6;9;10"
1604,"2;6;9;10"
1606,"1;2;6;9;10"
1608,"3;6;9;10"
1610,"1;3;6;9;10"
1612,"2;3;6;9;10"
1614,"1;2;3;6;9;10"
1616,"4;6;9;10"
1618,"1;4;6;9;10"
1620,"2;4;6;9;10"
1622,"1;2;4;6;9;10"
1624,"3;4;6;9;10"
1626,"1;3;4;6;9;10"
1628,"2;3;4;6;9;10"
1630,"1;2;3;4;6;9;10"
1632,"5;6;9;10"
1634,"1;5;6;9;10"
